learning_rate,dropout,weight_decay,embed_dim,num_layers,best_val_loss,best_val_acc
0.0003,0.1,0.0,64,2,0.6420935467373241,0.6325454545454545
0.0003,0.0,0.0001,128,2,0.6422945141069817,0.633030303030303
0.001,0.0,0.0,64,2,0.6424271350051417,0.6304848484848485
0.0003,0.0,0.0,64,2,0.6426341042807608,0.6347878787878788
0.001,0.0,0.0,64,3,0.642751050717903,0.6319393939393939
0.0003,0.0,0.0,128,2,0.6428081081563776,0.6299393939393939
0.0003,0.1,0.0,128,2,0.6428938274383544,0.631030303030303
0.0003,0.0,0.0,64,3,0.6429697450435523,0.6307272727272727
0.0003,0.0,0.0,128,3,0.6429711850339717,0.63
0.0003,0.1,0.0001,128,3,0.6429840469649344,0.6302424242424243
0.0003,0.0,0.0001,128,3,0.6431574511094527,0.6318787878787879
0.0003,0.1,0.0,128,3,0.6431628362771237,0.6307878787878788
0.0003,0.0,0.0001,64,2,0.64317476904031,0.6311515151515151
0.001,0.0,0.0,128,3,0.6431935410210581,0.632
0.0003,0.0,0.0001,64,3,0.6433079195600567,0.6306666666666667
0.0003,0.1,0.0,64,3,0.6433100687373768,0.6325454545454545
0.0003,0.1,0.0001,64,3,0.6435117927464572,0.6318181818181818
0.0003,0.1,0.0001,128,2,0.6435707572301229,0.6302424242424243
0.0003,0.1,0.0001,64,2,0.6437365164034294,0.6302424242424243
0.001,0.0,0.0,128,2,0.643841208674691,0.6320606060606061
